,from,to
3496,720,184
3497,720,264
3639,721,98
3641,721,323
3640,721,298
3705,722,162
169,723,348
171,724,275
695,725,50
933,726,75
1125,727,141
1127,727,574
1123,727,67
1122,727,51
1124,727,99
1126,727,351
1129,728,288
1130,728,348
1134,729,263
1133,730,263
1137,731,371
1174,732,122
1741,733,6
1743,733,27
1742,733,15
1791,734,131
1833,735,133
2020,736,347
2255,737,386
2259,738,156
2928,739,264
2927,739,49
2929,740,142
3085,741,446
3198,742,314
3226,743,142
3301,744,288
272,745,444
276,746,291
275,746,249
274,746,215
273,746,174
279,747,314
278,747,215
277,747,133
451,748,118
504,749,573
503,749,395
502,749,98
722,750,148
1055,751,226
1338,752,133
1501,753,385
1630,754,427
1631,755,444
1754,756,93
1988,757,70
2221,758,40
2335,759,77
2444,760,402
2446,761,201
2457,762,87
2460,762,365
2456,762,61
2459,762,174
2458,762,89
2632,763,248
2851,764,116
2870,765,32
2868,765,7
2872,765,120
2871,765,33
2869,765,13
2981,766,129
3192,767,398
3193,768,12
3470,769,396
3485,770,135
3487,771,323
3486,771,98
35,772,246
36,772,412
47,773,9
101,774,467
354,775,213
479,776,317
478,776,315
477,776,102
610,777,370
786,778,135
787,778,262
934,779,174
935,780,418
1446,781,200
1567,782,470
1566,782,259
1849,783,174
1853,784,417
1851,784,215
1852,784,381
2010,785,487
2109,786,227
2696,787,336
2695,787,77
2698,788,294
2697,788,164
2706,789,298
2955,790,534
2957,791,222
2959,791,569
2956,791,50
2958,791,460
3008,792,500
3584,793,378
48,794,78
49,794,104
132,795,103
134,795,350
131,795,49
135,795,560
133,795,347
212,796,315
216,797,171
218,798,288
217,798,119
792,799,215
793,799,365
960,800,175
959,800,174
1096,801,214
1180,802,146
1205,803,207
1211,804,372
1761,805,276
2060,806,174
2061,806,323
2062,807,170
2064,808,222
2065,808,466
2191,809,161
2268,810,209
2326,811,420
2427,812,283
2589,813,203
3015,814,464
3022,815,264
3021,815,184
3026,816,99
3024,817,49
3146,818,133
3147,819,366
3151,820,33
3241,821,186
3242,821,210
3243,821,232
3244,822,412
3713,823,34
3716,823,316
3714,823,78
3715,823,257
309,824,303
454,825,168
779,826,226
966,827,323
965,827,222
967,827,459
1181,828,329
1182,829,50
1244,830,150
1350,831,222
1349,831,214
1356,832,174
1355,832,49
1357,832,222
1358,832,493
1398,833,441
1436,834,385
1451,835,208
1452,836,96
1454,837,288
1455,837,348
1554,838,440
2059,839,355
2097,840,30
2096,840,12
2114,841,87
2173,842,416
2175,843,323
2354,844,222
2353,844,214
2357,845,49
2391,846,154
2634,847,509
2997,848,131
3129,849,49
3161,850,383
3263,851,109
3267,852,222
3268,852,300
3472,853,170
3474,854,174
3475,854,291
3473,854,162
3476,854,507
3477,855,222
3684,856,98
3685,856,479
3686,856,601
3687,857,408
3740,858,355
22,859,145
23,859,179
360,860,78
431,861,384
645,862,237
785,863,148
804,864,184
814,865,264
815,866,75
860,867,174
861,867,291
1058,868,272
1062,869,284
1064,870,156
1066,871,118
1067,871,258
1065,871,71
1068,871,403
1069,872,156
1215,873,87
1734,874,12
1798,875,164
1929,876,174
1982,877,479
2197,878,121
2250,879,122
2252,880,263
2652,881,213
3116,882,343
3130,883,314
3131,884,174
3270,885,375
3271,885,386
3417,886,67
3418,887,375
3419,888,191
210,889,131
335,890,38
581,891,262
582,892,445
583,893,300
584,893,460
685,894,525
790,895,406
926,896,263
1481,897,206
1495,898,128
1494,898,70
